HuggingFaceID,Architecture,System,Backend,Version,Mode,Status,ErrMsg
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,gb300,trtllm,1.2.0rc5,disagg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 382, in get_worker_candidates\n    model = models.get_model(\n            ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1392, in run\n    result = self.run_disagg(task_config.config, autoscale=autoscale)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1342, in run_disagg\n    result_df = pa.disagg_pareto(\n                ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 282, in disagg_pareto\n    summary = disagg_sess.find_best_disagg_result_under_constraints(\n              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 729, in find_best_disagg_result_under_constraints\n    prefill_summary_df = self.get_worker_candidates(\n                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 433, in get_worker_candidates\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,gb300,trtllm,1.2.0rc6.post3,agg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 204, in run_single_test\n    task_config = TaskConfig(**task_config_kwargs)\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 767, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 915, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 894, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode)\n  File ""src/aiconfigurator/sdk/task.py"", line 816, in _supported_or_raise\n    raise ValueError(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='gb300', backend='trtllm', version='1.2.0rc6.post3'. Supported gemm modes: ['float16', 'fp8', 'fp8_static', 'nvfp4']\n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,gb300,trtllm,1.2.0rc6.post3,disagg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 204, in run_single_test\n    task_config = TaskConfig(**task_config_kwargs)\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 767, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 919, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 894, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode)\n  File ""src/aiconfigurator/sdk/task.py"", line 816, in _supported_or_raise\n    raise ValueError(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='gb300', backend='trtllm', version='1.2.0rc6.post3'. Supported gemm modes: ['float16', 'fp8', 'fp8_static', 'nvfp4']\n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.6.post2,agg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 71, in agg_pareto\n    model = get_model(\n            ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1390, in run\n    result = self.run_agg(task_config.config)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1163, in run_agg\n    result_df = pa.agg_pareto(\n                ^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 150, in agg_pareto\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.6.post2,disagg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 382, in get_worker_candidates\n    model = models.get_model(\n            ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1392, in run\n    result = self.run_disagg(task_config.config, autoscale=autoscale)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1342, in run_disagg\n    result_df = pa.disagg_pareto(\n                ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 282, in disagg_pareto\n    summary = disagg_sess.find_best_disagg_result_under_constraints(\n              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 729, in find_best_disagg_result_under_constraints\n    prefill_summary_df = self.get_worker_candidates(\n                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 433, in get_worker_candidates\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.8.post1,agg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 71, in agg_pareto\n    model = get_model(\n            ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1390, in run\n    result = self.run_agg(task_config.config)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1163, in run_agg\n    result_df = pa.agg_pareto(\n                ^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 150, in agg_pareto\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.8.post1,disagg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 382, in get_worker_candidates\n    model = models.get_model(\n            ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1392, in run\n    result = self.run_disagg(task_config.config, autoscale=autoscale)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1342, in run_disagg\n    result_df = pa.disagg_pareto(\n                ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 282, in disagg_pareto\n    summary = disagg_sess.find_best_disagg_result_under_constraints(\n              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 729, in find_best_disagg_result_under_constraints\n    prefill_summary_df = self.get_worker_candidates(\n                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 433, in get_worker_candidates\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.9,agg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 71, in agg_pareto\n    model = get_model(\n            ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1390, in run\n    result = self.run_agg(task_config.config)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1163, in run_agg\n    result_df = pa.agg_pareto(\n                ^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 150, in agg_pareto\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,h100_sxm,sglang,0.5.9,disagg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 382, in get_worker_candidates\n    model = models.get_model(\n            ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1392, in run\n    result = self.run_disagg(task_config.config, autoscale=autoscale)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1342, in run_disagg\n    result_df = pa.disagg_pareto(\n                ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 282, in disagg_pareto\n    summary = disagg_sess.find_best_disagg_result_under_constraints(\n              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 729, in find_best_disagg_result_under_constraints\n    prefill_summary_df = self.get_worker_candidates(\n                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 433, in get_worker_candidates\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,h100_sxm,trtllm,1.0.0rc3,agg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 71, in agg_pareto\n    model = get_model(\n            ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1390, in run\n    result = self.run_agg(task_config.config)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1163, in run_agg\n    result_df = pa.agg_pareto(\n                ^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 150, in agg_pareto\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,h100_sxm,trtllm,1.0.0rc3,disagg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 382, in get_worker_candidates\n    model = models.get_model(\n            ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1392, in run\n    result = self.run_disagg(task_config.config, autoscale=autoscale)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1342, in run_disagg\n    result_df = pa.disagg_pareto(\n                ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 282, in disagg_pareto\n    summary = disagg_sess.find_best_disagg_result_under_constraints(\n              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 729, in find_best_disagg_result_under_constraints\n    prefill_summary_df = self.get_worker_candidates(\n                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 433, in get_worker_candidates\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,h100_sxm,trtllm,1.2.0rc5,agg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 71, in agg_pareto\n    model = get_model(\n            ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1390, in run\n    result = self.run_agg(task_config.config)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1163, in run_agg\n    result_df = pa.agg_pareto(\n                ^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 150, in agg_pareto\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,h100_sxm,trtllm,1.2.0rc5,disagg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 382, in get_worker_candidates\n    model = models.get_model(\n            ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1392, in run\n    result = self.run_disagg(task_config.config, autoscale=autoscale)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1342, in run_disagg\n    result_df = pa.disagg_pareto(\n                ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 282, in disagg_pareto\n    summary = disagg_sess.find_best_disagg_result_under_constraints(\n              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 729, in find_best_disagg_result_under_constraints\n    prefill_summary_df = self.get_worker_candidates(\n                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 433, in get_worker_candidates\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,h100_sxm,vllm,0.12.0,agg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 71, in agg_pareto\n    model = get_model(\n            ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1390, in run\n    result = self.run_agg(task_config.config)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1163, in run_agg\n    result_df = pa.agg_pareto(\n                ^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 150, in agg_pareto\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,h100_sxm,vllm,0.12.0,disagg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 382, in get_worker_candidates\n    model = models.get_model(\n            ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1392, in run\n    result = self.run_disagg(task_config.config, autoscale=autoscale)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1342, in run_disagg\n    result_df = pa.disagg_pareto(\n                ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 282, in disagg_pareto\n    summary = disagg_sess.find_best_disagg_result_under_constraints(\n              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 729, in find_best_disagg_result_under_constraints\n    prefill_summary_df = self.get_worker_candidates(\n                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 433, in get_worker_candidates\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,h100_sxm,vllm,0.14.0,agg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 71, in agg_pareto\n    model = get_model(\n            ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 244, in get_model\n    model = MOEModel(\n            ^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 907, in __init__\n    self._validate_fp8_block_quantized_moe_config()\n  File ""src/aiconfigurator/sdk/models.py"", line 1185, in _validate_fp8_block_quantized_moe_config\n    raise ValueError(\nValueError: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 208, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1390, in run\n    result = self.run_agg(task_config.config)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1163, in run_agg\n    result_df = pa.agg_pareto(\n                ^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 150, in agg_pareto\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=8) % weight_block_size=128 != 0. \n"
